operator_count,score,generation
2.0,0.53625,0
1.0,0.60625,0
2.0,0.5900000000000001,0
1.0,0.5875,0
2.0,0.75375,0
2.0,0.55625,0
2.0,0.52625,0
1.0,0.49874999999999997,0
1.0,0.6112500000000001,0
1.0,0.6649999999999999,0
1.0,0.6625,0
2.0,0.52625,0
2.0,0.50625,0
1.0,0.50875,0
1.0,0.56875,0
1.0,0.5287499999999999,0
1.0,0.49874999999999997,0
2.0,0.515,0
1.0,0.63,0
2.0,0.575,0
3.0,0.51875,1
2.0,0.50875,1
2.0,0.60875,1
2.0,0.5275000000000001,1
1.0,0.54,1
2.0,0.50875,1
2.0,0.5037499999999999,1
1.0,0.53125,1
1.0,0.58375,1
2.0,0.8425,1
2.0,0.5087499999999999,1
1.0,0.50625,1
1.0,0.60625,1
2.0,0.6199999999999999,1
3.0,0.84375,1
1.0,0.625,1
2.0,0.50875,1
1.0,0.49749999999999994,1
1.0,0.71875,1
2.0,0.52125,1
3.0,0.715,2
1.0,0.60625,2
1.0,0.60625,2
3.0,0.5137499999999999,2
1.0,0.60625,2
1.0,0.60625,2
1.0,0.60625,2
1.0,0.60625,2
2.0,0.53125,2
3.0,0.8425,2
1.0,0.60625,2
2.0,0.645,2
1.0,0.60625,2
2.0,0.54125,2
3.0,0.7375,2
2.0,0.61625,2
1.0,0.60625,2
2.0,0.515,2
1.0,0.60625,2
2.0,0.49749999999999994,2
2.0,0.8425,3
3.0,0.72625,3
2.0,0.7612500000000001,3
3.0,0.5325,3
1.0,0.60625,3
2.0,0.6599999999999999,3
2.0,0.52125,3
3.0,0.8425,3
2.0,0.8425,3
3.0,0.6587500000000001,3
3.0,0.5549999999999999,3
2.0,0.59875,3
3.0,0.7962499999999999,3
1.0,0.60625,3
3.0,0.63375,3
3.0,0.8425,3
1.0,0.60625,3
3.0,0.9225,3
3.0,0.8487500000000001,3
5000.0,-inf,3
1.0,0.63375,4
1.0,0.5475,4
3.0,0.9162500000000001,4
4.0,0.7337499999999999,4
2.0,0.60625,4
1.0,0.60625,4
